"","type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_6","label"
"1","white",7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"good",2
"2","white",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"good",1
"3","white",8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"good",2
"4","white",7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"good",1
"5","white",7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"good",2
"6","white",8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"good",1
"7","white",6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,"good",1
"8","white",7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"good",2
"9","white",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"good",2
"10","white",8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,"good",1
"11","white",8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,"bad",1
"12","white",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,"bad",2
"13","white",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,"bad",1
"14","white",6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,"good",1
"15","white",8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,"bad",1
"16","white",6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,"good",1
"17","white",6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,"good",1
"19","white",7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,"good",1
"20","white",6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,"bad",1
"21","white",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"good",1
"22","white",6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,"good",1
"23","white",6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,"good",2
"24","white",7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,"bad",1
"25","white",6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,"good",1
"26","white",7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,"good",1
"27","white",6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,"good",2
"28","white",7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,"good",1
"29","white",7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,"good",2
"30","white",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,"good",1
"31","white",8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,"good",1
"32","white",8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,"good",1
"33","white",7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,"good",1
"35","white",5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,"bad",1
"36","white",7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,"bad",1
"37","white",6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,"bad",1
"38","white",7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,"good",2
"39","white",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,"bad",2
"40","white",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,"bad",1
"41","white",6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,"good",2
"42","white",6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,"good",1
"43","white",7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,"good",1
"44","white",6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,"good",1
"45","white",6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,"good",2
"46","white",7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,"good",1
"47","white",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,"bad",2
"48","white",6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,"bad",1
"49","white",7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,"good",1
